Category,Is_Unitary,Is_Chiral,Min_Quantum_Dim,Hermitian_Error,Time_Reversal_Violation,Total_D
FR_2_0_1,True,True,1.0,4.852458435067319e-10,0.9997825604243276,1.4142135623730951
FR_3_2_1,True,True,0.9999999999999994,2.696207701546882e-10,0.9998687391160354,1.7320508075688767
FR_2_0_2,True,True,1.0,4.3310577346744594e-10,0.9417740035383106,1.9021130325903075
FR_3_0_1,True,True,0.9999999999999983,1.0251122173343674e-09,0.9999575232564598,1.9999999999999984
FR_4_0_1,True,True,1.0,1.0214904477834352e-09,0.9998723221307636,2.0000000000000004
FR_4_2_1,True,True,1.0,1.024995199827572e-09,0.9999767597342306,2.0000000000000004
FR_5_4_1,True,True,0.9999999999999996,7.505136512264698e-10,0.9999998065758593,2.236067977499789
FR_6_2_1,True,True,0.9999999999999998,1.022563145269828e-09,0.999755311409161,2.449489742783178
FR_6_4_1,True,True,0.9999999999999998,4.465926517482899e-10,0.9999999973047583,2.449489742783178
FR_4_2_2,True,True,1.0,1.6783734402281425e-09,0.9999979792804241,2.4494897427831783
FR_3_0_2,True,True,0.9999999999999998,3.718161334376191e-10,0.9997049723387912,2.449489742783179
FR_4_0_2,True,True,0.9999999999999986,1.0018725848937038e-09,0.9991416199876626,2.6899940478558255
FR_6_2_2,True,True,0.9999999999999992,7.836895576929237e-10,0.9999969589130447,2.828427124746188
FR_6_2_3,True,True,0.9999999999999992,1.1981813319295043e-09,0.9999985222123786,2.828427124746188
FR_6_0_1,True,True,0.9999999999999992,1.3006504762103077e-09,0.9999901030652236,2.828427124746188
FR_6_4_2,True,True,0.9999999999999992,1.0313547793572297e-09,0.9999952078627709,2.828427124746188
FR_5_2_1,True,True,0.9999999999999989,3.0852254084834385e-10,0.9999989888316232,2.828427124746189
FR_5_0_1,True,True,0.9999999999999989,1.514490755027964e-09,0.999996900797594,2.828427124746189
FR_3_0_3,True,True,1.0,7.647362743057329e-10,0.9995346589132108,3.0489173395223066
FR_4_0_3,True,True,0.9999999999999998,9.664864464298262e-10,0.9999999896982722,3.1622776601683777
FR_6_4_3,True,True,0.9999999999999991,2.6317126256003576e-09,0.9998429229184541,3.1622776601683786
FR_6_4_5,True,True,1.0,1.1078327144531386e-09,0.9999969489666998,3.2945564141853296
FR_6_2_4,True,True,0.999999999999999,1.8354355812988388e-09,0.9999984208545863,3.464101615137754
FR_6_0_2,True,True,0.999999999999999,3.022036176858478e-09,0.9999958896760943,3.464101615137754
FR_5_2_3,True,True,1.0,1.201949428875082e-09,0.9999977631366114,3.4641016151377557
FR_5_0_3,True,True,1.0,9.252808519377709e-10,0.9999745835395704,3.4641016151377557
FR_4_0_5,True,True,1.0,1.7388642747917515e-09,0.9999998460876032,3.618033988749894
FR_4_0_4,True,True,1.0,1.6979242456471866e-09,0.9999915099161107,3.69551813004515
FR_4_2_4,True,True,1.0,9.732664674189095e-10,0.9999791294348486,3.69551813004515
FR_5_0_4,True,True,0.9999999999999988,1.6459567042659273e-09,0.9999995985099838,3.7416573867739418
FR_6_0_4,True,True,0.9999999999999988,2.2331264615260693e-09,0.9999998553080284,3.8042260651806132
FR_6_0_7,True,True,0.9999999999999994,1.2574590257941054e-09,0.999904515257716,4.242640687119283
FR_6_0_8,True,True,0.9999999999999994,2.1799151372903225e-09,0.9999990918174775,4.242640687119283
FR_6_0_6,True,True,1.0,2.0138282152970532e-09,0.9999897466409166,4.31182025210694
FR_4_0_6,True,True,1.0,9.276834855853622e-10,0.9999988638699714,4.385706600244628
FR_6_0_9,True,True,0.9999999999999967,2.1831645380387954e-09,0.9999998779705849,4.47213595499957
FR_6_2_7,True,True,0.9999999999999967,2.2751494022088536e-09,0.9999987102796348,4.47213595499957
FR_6_0_5,True,True,0.999999999999999,3.0198391565150473e-09,0.999999969326152,4.659206362944163
FR_5_2_4,True,True,1.0,1.3305292423382298e-09,0.9999409019961769,4.898979485566364
FR_5_0_6,True,True,1.0,2.665516363187237e-09,0.9999887030286666,4.898979485566364
FR_5_0_7,True,True,0.9999999999999996,1.9737307344058763e-09,0.9999997264070155,5.116672736016931
FR_6_0_14,True,True,1.0,8.442415655451896e-10,0.99999942611739,5.799385406795937
FR_5_0_10,True,True,1.0,1.22985599482206e-09,0.9999633738124672,5.886122689437925
FR_6_2_8,True,True,0.9999999999999992,2.126295584048421e-09,0.9999684264754638,5.977037789707201
FR_6_0_16,True,True,0.9999999999999963,5.1792281574591925e-09,0.9999986579127798,6.692130429902444
FR_6_0_18,True,True,1.0,2.6711111100752305e-09,0.999987985604715,7.5330448723398655
